  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      348        3.644        4.612            0      346.438       57.874       95.618
      349        3.438        4.726            0      348.464      118.193       96.268
      350        3.286        4.857            0      338.686       97.786       98.011
      351        4.161        4.143            0      328.000       84.485       94.713
      352        4.639        3.916            0      320.960       93.036       76.399
      353        4.345        4.195            0      332.056       81.772       92.727
      354        4.447        4.143            0      334.787       91.977       83.634
      355        4.399        4.282            0      334.899       69.760       96.364
      356        4.360        4.304            0      337.761       68.434       99.738
      357        4.629        4.056            0      322.462       68.273       98.318
      358        4.289        4.298            0      336.886       61.290       99.181
      359        4.064        4.226            0      334.023      117.941       98.282
      360        4.377        4.185            0      344.653       83.447       89.489
      361        4.370        4.129            0      340.657       95.248       87.815
      362        3.837        4.380            0      338.999      116.731       96.422
      363        4.243        4.168            0      323.444      120.703       84.342
      364        4.362        4.074            0      324.553       97.309       90.432
      365        4.394        4.255            0      323.762      114.577       82.533
      366        4.084        4.438            0      336.845      100.828       94.165
      367        4.435        4.065            0      325.344       96.350       74.143
      368        4.249        4.052            0      317.234      103.200       79.912
      369        4.523        4.150            0      322.626      116.434       81.149
      370        4.405        3.969            0      326.262      115.552       85.247
      371        4.601        3.894            0      327.916       85.017       53.116
      372        4.655        3.865            0      318.585       86.051       64.385
      373        4.903        3.953            0      322.578      112.461       72.947
      374        4.716        4.063            0      337.733       89.114       86.509
      375        4.714        3.923            0      332.279      102.726       83.232
      376        4.811        3.958            0      325.343       98.910       79.428
      377        4.319        3.858            0      325.410      107.159       91.162
      378        4.549        4.047            0      336.038       91.772       92.757
      379        4.593        3.742            0      313.621       81.855       70.795
      380        4.596        4.001            0      338.332       91.474       85.615
      381        4.451        3.970            0      320.092      129.888       73.223
      382        4.597        4.031            0      319.838      116.038       79.619
      383        4.912        3.883            0      323.275       84.860       72.285
      384        4.775        3.795            0      319.730      104.232       84.615
      385        4.714        3.941            0      319.111       69.600       83.553
      386        4.771        3.813            0      320.370       95.920       74.946
      387        4.710        3.881            0      325.540      105.714       76.320
      388        4.497        3.833            0      322.774      140.222       75.458
      389        3.379        4.643            0      343.272      134.262       96.859
      390        3.192        4.681            0      348.264       97.177       82.706
      391        2.872        5.013            0      352.931       86.785       95.718
      392        2.582        5.250            0      349.157      106.689       96.286
      393        2.759        5.210            0      348.725      191.742       96.412
      394        4.257        4.009            0      317.224      110.492       93.604
      395        3.753        4.458            0      336.536      178.340       96.937
      396        4.291        3.964            0      323.432      109.917       93.066
      397        4.004        4.225            0      325.072       89.834       94.222
      398        3.918        4.517            0      329.909      116.368       97.378
      399        4.468        4.167            0      321.977      119.899       91.861
      400        4.152        4.370            0      336.601      126.620       92.707
      401        4.107        4.421            0      321.521       73.716       96.500
      402        4.388        4.090            0      319.633      131.867       98.655
      403        4.089        4.356            0      326.850      151.038       97.419
      404        3.902        4.319            0      330.327      107.298       93.110
      405        2.266        4.848            0      337.454      141.300       91.478
      406        3.470        4.327            0      331.125      170.443       94.934
      407        4.640        4.000            0      319.431      112.044       83.457
      408        3.768        4.429            0      331.944      123.827       96.257
      409        3.648        4.426            0      338.693      121.274       93.698
      410        4.365        3.970            0      319.272      123.252       95.344
      411        4.375        4.137            0      329.749      160.801       80.931
      412        4.381        4.223            0      320.954      161.734       96.698
      413        3.551        4.526            0      333.806      153.395      100.033
      414        4.080        4.318            0      328.697      118.599       96.183
      415        4.223        4.141            0      334.069      158.193       96.873
      416        3.897        4.260            0      338.696      116.698       90.204
      417        4.319        4.136            0      330.955      137.458       96.061
      418        3.978        4.422            0      330.571      135.691       90.480
      419        4.665        3.917            0      319.668       93.310       90.777
      420        4.681        3.837            0      319.424       81.746       74.181
      421        4.800        3.955            0      330.290       87.642       76.866
      422        4.241        3.937            0      332.279      135.721       82.681
      423        4.264        3.869            0      318.021      112.022       93.985
      424        4.769        3.862            0      316.646      143.443       77.942
      425        4.301        3.963            0      324.176      191.033       93.857
      426        3.779        4.099            0      333.611      157.253       94.078
      427        4.042        3.997            0      325.150      138.740       94.033
      428        4.044        4.021            0      326.620      182.069       91.301
      429        3.817        4.352            0      337.698      205.458       98.279
      430        3.585        4.004            0      320.804      144.866       97.443
      431        3.860        4.290            0      330.119      147.379       98.442
      432        4.036        4.418            0      332.563      162.545       97.470
      433        4.441        4.017            0      323.226      126.423       91.909
      434        3.992        4.149            0      318.382      142.182       92.663
      435        4.288        4.182            0      320.120      111.029       76.498
